CERBERUS_OFFER_ID ; 101
ENT_100_entitlement ; ME3_PRC_MP5
ENT_100_group ; ME3PCContent
ENT_100_ID ; 3225
ENT_100_param ; MP_DLC=TRUE&stringref=782577
ENT_101_entitlement ; BWE_ANCILLARY_DH_SX3_FIGHTER
ENT_101_group ; ME3GenAncillary
ENT_101_ID ; 1250033
ENT_102_entitlement ; BWE_ANCILLARY_TALI_BISHOUJO
ENT_102_group ; ME3GenAncillary
ENT_102_ID ; 1250034
ENT_103_entitlement ; BWE_ANCILLARY_N7_WATCH
ENT_103_group ; ME3GenAncillary
ENT_103_ID ; 1250035
ENT_104_entitlement ; BWE_ANCILLARY_N7_SNEAKER
ENT_104_group ; ME3GenAncillary
ENT_104_ID ; 1250036
ENT_105_entitlement ; BWE_ANCILLARY_NORMANDY_SNOWBOARD
ENT_105_group ; ME3GenAncillary
ENT_105_ID ; 1250037
ENT_106_entitlement ; BWE_ANCILLARY_GARRUS_BUST
ENT_106_group ; ME3GenAncillary
ENT_106_ID ; 1250038
ENT_107_entitlement ; BWE_ANCILLARY_MORDIN_BUST
ENT_107_group ; ME3GenAncillary
ENT_107_ID ; 1250039
ENT_108_entitlement ; ME3_PRO_COMMEND_21
ENT_108_group ; ME3GenContent
ENT_108_ID ; 1500021
ENT_109_entitlement ; ME3_PRO_CHALLENGE_21
ENT_109_group ; ME3PCOffers
ENT_109_ID ; 1500121
ENT_10_entitlement ; ME3_PRO_MAGICAL_01
ENT_10_group ; ME3GenOffers
ENT_10_ID ; 2000000
ENT_110_entitlement ; ME3_PRO_COMMEND_22
ENT_110_group ; ME3GenContent
ENT_110_ID ; 1500022
ENT_111_entitlement ; ME3_PRO_CHALLENGE_22
ENT_111_group ; ME3PCOffers
ENT_111_ID ; 1500122
ENT_112_entitlement ; ME3_PRO_COMMEND_23
ENT_112_group ; ME3GenContent
ENT_112_ID ; 1500023
ENT_113_entitlement ; ME3_PRO_CHALLENGE_23
ENT_113_group ; ME3PCOffers
ENT_113_ID ; 1500123
ENT_114_entitlement ; BWE_ANCILLARY_ME3_FEMSHEP_BISHOUJO
ENT_114_group ; ME3GenAncillary
ENT_114_ID ; 1250040
ENT_11_entitlement ; ME3_PRO_COMMEND_09
ENT_11_group ; ME3GenContent
ENT_11_ID ; 1500008
ENT_12_entitlement ; ME3_PRO_COMMEND_10
ENT_12_group ; ME3GenContent
ENT_12_ID ; 1500009
ENT_13_entitlement ; ME3_CS_CREDITS_01
ENT_13_group ; ME3GenContent
ENT_13_ID ; 1300000
ENT_14_entitlement ; ME3_PRC_REBELLION
ENT_14_group ; ME3PCContent
ENT_14_ID ; 2500
ENT_14_param ; MP_DLC=TRUE&stringref=735694&MP_Maps=BioP_MPJngl&MP_Maps=BioP_MPThes
ENT_15_entitlement ; ME3_REINF_PACK_PURCHASED
ENT_15_group ; ME3PCOffers
ENT_15_ID ; 4000112
ENT_15_param ; Grant:Group=ME3PCOffers&Grant:Tag=ME3_REINF_PACK_PURCHASED
ENT_16_entitlement ; ME3_PRO_RECRU_REPACK_LOYALTYPACK_01
ENT_16_group ; ME3GenContent
ENT_16_ID ; 1100001
